record_id,date,week,month,annotator_id,annotator_name,annotator_level,project_id,project_name,task_type,annotations_count,avg_review_time_sec,accuracy_rate,flagged_count,throughput_per_hour,alert_status
442,2025-03-14,11,2025-03,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,146,54.0,0.7115,42,9733.3,QUALITY ALERT
358,2025-03-04,10,2025-03,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,133,93.2,0.713,38,5137.3,QUALITY ALERT
524,2025-03-26,13,2025-03,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,108,101.8,0.7147,30,3819.3,QUALITY ALERT
713,2025-04-17,16,2025-04,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,134,110.9,0.7157,38,4349.9,QUALITY ALERT
407,2025-03-11,11,2025-03,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,90,118.0,0.7187,25,2745.8,QUALITY ALERT
709,2025-04-17,16,2025-04,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,130,98.9,0.7192,36,4732.1,QUALITY ALERT
1037,2025-06-01,22,2025-06,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,148,69.9,0.7203,41,7622.3,QUALITY ALERT
698,2025-04-16,16,2025-04,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,142,99.8,0.7217,39,5122.2,QUALITY ALERT
510,2025-03-25,13,2025-03,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,191,86.4,0.7228,52,7958.3,HIGH RISK
1028,2025-05-30,22,2025-05,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,135,68.7,0.723,37,7074.2,QUALITY ALERT
1061,2025-06-03,23,2025-06,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,169,98.6,0.7238,46,6170.4,HIGH RISK
265,2025-02-19,8,2025-02,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,108,77.0,0.7251,29,5049.4,QUALITY ALERT
150,2025-02-04,6,2025-02,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,40,86.1,0.7264,10,1672.5,QUALITY ALERT
849,2025-05-07,19,2025-05,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,227,58.4,0.7273,61,13993.2,HIGH RISK
532,2025-03-27,13,2025-03,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,166,63.9,0.7294,44,9352.1,HIGH RISK
622,2025-04-07,15,2025-04,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,60,68.9,0.7303,16,3135.0,QUALITY ALERT
209,2025-02-12,7,2025-02,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,152,86.2,0.7306,40,6348.0,HIGH RISK
212,2025-02-12,7,2025-02,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,71,41.1,0.7307,19,6219.0,QUALITY ALERT
1052,2025-06-02,23,2025-06,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,115,40.8,0.7321,30,10147.1,QUALITY ALERT
959,2025-05-21,21,2025-05,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,128,81.4,0.7338,34,5660.9,QUALITY ALERT
469,2025-03-19,12,2025-03,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,169,54.8,0.7347,44,11102.2,HIGH RISK
116,2025-01-30,5,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,80,46.5,0.7356,21,6193.5,QUALITY ALERT
1050,2025-06-02,23,2025-06,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,101,91.0,0.7362,26,3995.6,QUALITY ALERT
