record_id,date,week,month,annotator_id,annotator_name,annotator_level,project_id,project_name,task_type,annotations_count,avg_review_time_sec,accuracy_rate,flagged_count,throughput_per_hour
18,2025-01-17,3,2025-01,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,76,30.8,0.9684,2,8883.1
19,2025-01-17,3,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,119,54.1,0.8948,12,7918.7
20,2025-01-17,3,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,78,30.2,0.9893,0,9298.0
21,2025-01-17,3,2025-01,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,54,45.3,0.8457,8,4291.4
22,2025-01-17,3,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,29,45.5,0.9542,1,2294.5
23,2025-01-17,3,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,68,75.6,0.8745,8,3238.1
24,2025-01-17,3,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,48,49.7,0.9515,2,3476.9
25,2025-01-17,3,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,53,111.1,0.6328,19,1717.4
26,2025-01-17,3,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,87,64.9,0.8021,17,4825.9
27,2025-01-17,3,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,58,29.4,0.8168,10,7102.0
28,2025-01-17,3,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,83,50.8,0.8793,10,5881.9
29,2025-01-17,3,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,22,86.3,0.8449,3,917.7
30,2025-01-20,4,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,104,25.9,0.9754,2,14455.6
31,2025-01-20,4,2025-01,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,79,54.5,0.8619,10,5218.3
32,2025-01-20,4,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,65,35.9,0.8415,10,6518.1
33,2025-01-20,4,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,86,69.7,0.8602,12,4441.9
34,2025-01-20,4,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,49,75.3,0.7648,11,2342.6
35,2025-01-20,4,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,44,54.3,0.8103,8,2917.1
36,2025-01-20,4,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,74,75.9,0.8405,11,3509.9
37,2025-01-20,4,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,85,38.4,0.8232,15,7968.8
38,2025-01-20,4,2025-01,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,57,54.0,0.9778,1,3800.0
39,2025-01-21,4,2025-01,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,90,35.7,0.949,4,9075.6
40,2025-01-21,4,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,61,55.1,0.9426,3,3985.5
41,2025-01-21,4,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,120,24.0,1.0,0,18000.0
42,2025-01-21,4,2025-01,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,29,51.5,0.9776,0,2027.2
43,2025-01-21,4,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,43,34.5,0.904,4,4487.0
44,2025-01-21,4,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,60,55.2,0.8627,8,3913.0
45,2025-01-21,4,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,41,50.6,0.8532,6,2917.0
46,2025-01-21,4,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,121,43.9,0.8107,22,9922.6
47,2025-01-21,4,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,106,29.2,0.9091,9,13068.5
48,2025-01-21,4,2025-01,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,112,34.0,0.8411,17,11858.8
49,2025-01-22,4,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,106,53.3,0.8829,12,7159.5
50,2025-01-22,4,2025-01,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,59,36.8,0.9589,2,5771.7
51,2025-01-22,4,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,106,51.1,0.8996,10,7467.7
52,2025-01-22,4,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,105,30.0,0.9386,6,12600.0
53,2025-01-22,4,2025-01,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,145,50.6,0.8423,22,10316.2
54,2025-01-22,4,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,102,31.2,0.9315,6,11769.2
55,2025-01-22,4,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,120,61.0,0.8985,12,7082.0
56,2025-01-22,4,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,77,102.2,0.9038,7,2712.3
57,2025-01-22,4,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,51,54.9,0.7666,11,3344.3
58,2025-01-22,4,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,28,52.3,0.8505,4,1927.3
59,2025-01-22,4,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,89,45.6,0.9005,8,7026.3
60,2025-01-22,4,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,119,89.1,0.9532,5,4808.1
61,2025-01-23,4,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,119,45.1,0.8879,13,9498.9
62,2025-01-23,4,2025-01,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,115,33.1,0.9714,3,12507.6
63,2025-01-23,4,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,98,38.4,0.8661,13,9187.5
64,2025-01-23,4,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,28,64.0,0.8943,2,1575.0
65,2025-01-23,4,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,89,36.8,0.8969,9,8706.5
66,2025-01-23,4,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,77,53.3,0.8292,13,5200.8
67,2025-01-23,4,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,64,39.5,0.8515,9,5832.9
68,2025-01-23,4,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,101,47.7,0.9422,5,7622.6
69,2025-01-23,4,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,10,81.0,0.8209,1,444.4
70,2025-01-23,4,2025-01,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,82,59.4,1.0,0,4969.7
71,2025-01-24,4,2025-01,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,120,39.9,0.9786,2,10827.1
72,2025-01-24,4,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,122,47.8,0.9428,6,9188.3
73,2025-01-24,4,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,79,27.3,0.9454,4,10417.6
74,2025-01-24,4,2025-01,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,86,65.3,0.8153,15,4741.2
75,2025-01-24,4,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,107,26.1,0.8811,12,14758.6
76,2025-01-24,4,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,121,47.3,0.8469,18,9209.3
77,2025-01-24,4,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,35,100.5,0.7462,8,1253.7
78,2025-01-24,4,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,72,64.4,0.7809,15,4024.8
79,2025-01-24,4,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,149,60.9,0.7085,43,8807.9
80,2025-01-24,4,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,89,33.7,0.9341,5,9507.4
81,2025-01-24,4,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,31,90.9,0.8203,5,1227.7
82,2025-01-27,5,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,135,43.4,0.91,12,11198.2
83,2025-01-27,5,2025-01,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,94,30.9,1.0,0,10951.5
84,2025-01-27,5,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,121,43.1,0.9475,6,10106.7
85,2025-01-27,5,2025-01,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,162,55.1,0.8292,27,10584.4
86,2025-01-27,5,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,71,49.1,0.8717,9,5205.7
87,2025-01-27,5,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,103,73.8,0.8229,18,5024.4
88,2025-01-27,5,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,86,20.9,0.849,12,14813.4
89,2025-01-27,5,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,57,48.9,0.9179,4,4196.3
90,2025-01-27,5,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,38,35.5,0.9052,3,3853.5
91,2025-01-27,5,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,125,75.1,0.8598,17,5992.0
92,2025-01-27,5,2025-01,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,68,41.5,0.8577,9,5898.8
93,2025-01-28,5,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,117,46.4,0.9221,9,9077.6
94,2025-01-28,5,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,99,50.0,0.9399,5,7128.0
95,2025-01-28,5,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,158,22.3,1.0,0,25506.7
96,2025-01-28,5,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,21,37.8,0.9235,1,2000.0
97,2025-01-28,5,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,99,41.8,0.8817,11,8526.3
98,2025-01-28,5,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,49,85.2,0.841,7,2070.4
99,2025-01-28,5,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,83,44.9,0.884,9,6654.8
100,2025-01-28,5,2025-01,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,100,45.5,0.9252,7,7912.1
101,2025-01-28,5,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,35,85.6,0.8348,5,1472.0
102,2025-01-28,5,2025-01,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,93,53.0,0.837,15,6317.0
103,2025-01-29,5,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,151,46.4,0.9364,9,11715.5
104,2025-01-29,5,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,107,48.3,0.953,5,7975.2
105,2025-01-29,5,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,138,32.6,0.9992,0,15239.3
106,2025-01-29,5,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,92,44.5,0.8876,10,7442.7
107,2025-01-29,5,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,103,66.6,0.8639,14,5567.6
108,2025-01-29,5,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,112,40.3,0.9737,2,10005.0
109,2025-01-29,5,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,29,77.7,0.8595,4,1343.6
110,2025-01-29,5,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,101,71.4,0.8577,14,5092.4
111,2025-01-29,5,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,69,81.5,0.7945,14,3047.9
112,2025-01-29,5,2025-01,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,43,65.0,0.8212,7,2381.5
113,2025-01-30,5,2025-01,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,90,26.9,0.9724,2,12044.6
114,2025-01-30,5,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,73,32.4,0.9097,6,8111.1
115,2025-01-30,5,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,102,63.5,0.8412,16,5782.7
116,2025-01-30,5,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,80,46.5,0.7356,21,6193.5
117,2025-01-30,5,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,42,89.7,0.8087,8,1685.6
118,2025-01-30,5,2025-01,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,130,63.5,0.8204,23,7370.1
119,2025-01-31,5,2025-01,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,117,44.4,0.9194,9,9486.5
120,2025-01-31,5,2025-01,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,108,35.8,0.9252,8,10860.3
121,2025-01-31,5,2025-01,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,133,57.1,0.9167,11,8385.3
122,2025-01-31,5,2025-01,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,109,44.5,0.884,12,8818.0
123,2025-01-31,5,2025-01,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,103,67.7,0.8639,14,5477.1
124,2025-01-31,5,2025-01,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,68,47.0,0.9099,6,5208.5
125,2025-01-31,5,2025-01,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,130,103.8,0.9192,10,4508.7
126,2025-01-31,5,2025-01,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,42,74.4,0.831,7,2032.3
127,2025-01-31,5,2025-01,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,160,43.6,0.7796,35,13211.0
128,2025-01-31,5,2025-01,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,48,66.8,0.7585,11,2586.8
129,2025-01-31,5,2025-01,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,42,55.1,0.8505,6,2744.1
130,2025-02-03,6,2025-02,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,180,39.0,0.9327,12,16615.4
131,2025-02-03,6,2025-02,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,96,51.9,0.8804,11,6659.0
132,2025-02-03,6,2025-02,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,178,34.4,0.9459,9,18627.9
133,2025-02-03,6,2025-02,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,40,49.8,0.8954,4,2891.6
134,2025-02-03,6,2025-02,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,143,54.8,0.836,23,9394.2
135,2025-02-03,6,2025-02,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,100,47.2,0.872,12,7627.1
136,2025-02-03,6,2025-02,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,101,79.5,0.7815,22,4573.6
137,2025-02-03,6,2025-02,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,81,59.4,0.8727,10,4909.1
138,2025-02-03,6,2025-02,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,60,26.7,0.9511,2,8089.9
139,2025-02-03,6,2025-02,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,89,83.3,0.8831,10,3846.3
140,2025-02-03,6,2025-02,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,81,67.4,0.8341,13,4326.4
141,2025-02-04,6,2025-02,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,187,58.2,0.9125,16,11567.0
142,2025-02-04,6,2025-02,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,155,52.6,0.9611,6,10608.4
143,2025-02-04,6,2025-02,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,68,52.3,0.9323,4,4680.7
144,2025-02-04,6,2025-02,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,40,58.1,0.7784,8,2478.5
145,2025-02-04,6,2025-02,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,92,52.5,0.9501,4,6308.6
146,2025-02-04,6,2025-02,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,80,111.8,0.7072,23,2576.0
147,2025-02-04,6,2025-02,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,10,63.2,0.843,1,569.6
148,2025-02-04,6,2025-02,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,76,28.4,0.8247,13,9633.8
149,2025-02-04,6,2025-02,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,56,44.4,0.9147,4,4540.5
150,2025-02-04,6,2025-02,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,40,86.1,0.7264,10,1672.5
151,2025-02-04,6,2025-02,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,75,64.7,0.7709,17,4173.1
152,2025-02-05,6,2025-02,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,143,46.7,0.8962,14,11023.6
153,2025-02-05,6,2025-02,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,124,29.0,0.9334,8,15393.1
154,2025-02-05,6,2025-02,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,92,38.3,0.9611,3,8647.5
155,2025-02-05,6,2025-02,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,79,48.5,0.8855,9,5863.9
156,2025-02-05,6,2025-02,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,95,43.9,0.9303,6,7790.4
157,2025-02-05,6,2025-02,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,85,63.0,0.849,12,4857.1
158,2025-02-05,6,2025-02,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,23,34.7,0.9447,1,2386.2
159,2025-02-05,6,2025-02,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,145,60.9,0.8546,21,8571.4
160,2025-02-05,6,2025-02,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,91,90.2,0.8972,9,3631.9
161,2025-02-05,6,2025-02,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,99,31.4,0.8357,16,11350.3
162,2025-02-05,6,2025-02,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,87,44.2,0.7447,22,7086.0
163,2025-02-06,6,2025-02,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,110,44.0,0.9706,3,9000.0
164,2025-02-06,6,2025-02,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,156,28.5,1.0,0,19705.3
165,2025-02-06,6,2025-02,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,108,60.7,0.9209,8,6405.3
166,2025-02-06,6,2025-02,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,102,79.9,0.7786,22,4595.7
167,2025-02-06,6,2025-02,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,45,47.3,0.8756,5,3424.9
168,2025-02-06,6,2025-02,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,156,36.5,0.8638,21,15386.3
169,2025-02-06,6,2025-02,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,82,35.1,0.8763,10,8410.3
170,2025-02-06,6,2025-02,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,46,92.9,0.7401,11,1782.6
171,2025-02-06,6,2025-02,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,91,52.6,0.8157,16,6228.1
172,2025-02-07,6,2025-02,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,105,31.3,0.9727,2,12076.7
173,2025-02-07,6,2025-02,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,147,23.6,0.963,5,22423.7
174,2025-02-07,6,2025-02,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,133,33.4,0.9117,11,14335.3
175,2025-02-07,6,2025-02,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,83,43.6,0.8695,10,6853.2
176,2025-02-07,6,2025-02,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,43,54.6,0.8619,5,2835.2
177,2025-02-07,6,2025-02,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,116,39.6,0.9155,9,10545.5
178,2025-02-07,6,2025-02,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,15,63.1,0.7473,3,855.8
179,2025-02-07,6,2025-02,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,55,53.8,0.7784,12,3680.3
180,2025-02-07,6,2025-02,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,93,47.1,0.8769,11,7108.3
181,2025-02-10,7,2025-02,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,163,43.8,0.9359,10,13397.3
182,2025-02-10,7,2025-02,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,181,21.8,0.9261,13,29889.9
183,2025-02-10,7,2025-02,A02,James Liu,senior,P001,ClaimScore Survey,claim_verification,155,48.4,0.9311,10,11528.9
184,2025-02-10,7,2025-02,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,91,47.5,0.8838,10,6896.8
185,2025-02-10,7,2025-02,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,153,41.0,0.9135,13,13434.1
186,2025-02-10,7,2025-02,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,97,63.7,0.8427,15,5481.9
187,2025-02-10,7,2025-02,A04,David Kim,mid,P002,Wildfire Detection,entity_classification,126,43.4,0.9016,12,10451.6
188,2025-02-10,7,2025-02,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,168,102.8,0.7704,38,5883.3
189,2025-02-10,7,2025-02,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,133,48.4,0.7077,38,9892.6
190,2025-02-10,7,2025-02,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,76,24.0,0.8859,8,11400.0
191,2025-02-10,7,2025-02,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,86,112.4,0.8096,16,2754.4
192,2025-02-10,7,2025-02,A08,Tom Nguyen,junior,P003,CheckWorthy Tweets,relevance_labeling,77,63.2,0.6973,23,4386.1
193,2025-02-11,7,2025-02,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,147,32.4,0.9156,12,16333.3
194,2025-02-11,7,2025-02,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,153,49.5,0.8734,19,11127.3
195,2025-02-11,7,2025-02,A03,Maria Santos,mid,P003,CheckWorthy Tweets,relevance_labeling,136,57.2,0.9073,12,8559.4
196,2025-02-11,7,2025-02,A04,David Kim,mid,P001,ClaimScore Survey,claim_verification,122,63.9,0.826,21,6873.2
197,2025-02-11,7,2025-02,A05,Priya Nair,junior,P001,ClaimScore Survey,claim_verification,120,82.0,0.7943,24,5268.3
198,2025-02-11,7,2025-02,A06,Carlos Rivera,junior,P002,Wildfire Detection,entity_classification,67,69.6,0.84,10,3465.5
199,2025-02-11,7,2025-02,A06,Carlos Rivera,junior,P003,CheckWorthy Tweets,relevance_labeling,128,47.1,0.8138,23,9783.4
200,2025-02-11,7,2025-02,A07,Fatima Hassan,mid,P003,CheckWorthy Tweets,relevance_labeling,79,35.4,0.9151,6,8033.9
201,2025-02-11,7,2025-02,A08,Tom Nguyen,junior,P001,ClaimScore Survey,claim_verification,117,81.2,0.8422,18,5187.2
202,2025-02-12,7,2025-02,A01,Aisha Patel,senior,P001,ClaimScore Survey,claim_verification,183,51.5,0.9763,4,12792.2
203,2025-02-12,7,2025-02,A01,Aisha Patel,senior,P002,Wildfire Detection,entity_classification,119,28.0,0.8966,12,15300.0
204,2025-02-12,7,2025-02,A02,James Liu,senior,P003,CheckWorthy Tweets,relevance_labeling,187,31.8,0.9583,7,21169.8
205,2025-02-12,7,2025-02,A03,Maria Santos,mid,P002,Wildfire Detection,entity_classification,125,37.8,0.9878,1,11904.8
